"customer_id","customer_name","sales_region","email","customer_tier","join_date","phone","loyalty_points","subscribed"
"283353","Unknown","West Coast","Invalid","Silver","2020-09-24","+1-881-083-4013",3070,1
"348392","Karen Singh","Southeast","Invalid","Gold","2018-05-20","+1-045-518-7090",10511,1
"822514","Ahmed Ali","Northeast","ahmed.ali775@icloud.com","Silver","2023-11-07","+1-981-251-9518",4673,""
"568667","Joseph Kim","International","joseph.kim633@outlook.com","Gold","2018-05-06","+1-834-610-5001",2156,1
"750182","Ahmed Jones","Northwest","ahmed.jones874@outlook.com","Silver","2019-12-20","+1-334-755-8958",1058,""
"831814","Yuki Silva","Northeast","yuki.silva385@work.org","Gold","2019-04-29","+1-491-847-8881",14570,""
"714562","Patricia Hernandez","Midwest","patricia.hernandez916@hotmail.com","Bronze","2018-06-26","+1-095-682-9517",14363,1
"370422","Thomas Anderson","Northeast","thomas.anderson996@hotmail.com","Silver","2023-03-13","+1-169-219-2813",5764,1
"174947","David Thomas","Southwest","Invalid","Bronze","2019-10-28","+1-211-364-6046",4583,""
"865299","Michael Jackson","Southeast","michael.jackson400@hotmail.com","Bronze","2018-03-23","+1-416-605-3410",5417,""
"820468","Jessica Taylor","Midwest","jessica.taylor504@outlook.com","Bronze","2022-07-10","+1-619-218-7975",8915,1
"550961","Lisa Kim","Southeast","lisa.kim923@work.org","Bronze","2018-02-12","+1-372-424-6494",11727,1
"277043","Richard Davis","Northeast","richard.davis708@company.com","Silver","2019-01-27","+1-650-702-0745",3859,1
"758774","Richard Rodriguez","Midwest","richard.rodriguez859@company.com","Silver","2022-12-17","+1-738-291-8382",9457,""
"527833","Patricia Silva","Northeast","patricia.silva743@yahoo.com","Silver","2019-10-15","+1-708-360-6312",13589,1
"912543","Raj Singh","Southeast","raj.singh251@mail.com","Gold","2021-02-24","+1-991-769-9985",178,1
"558803","Mary Martin","Midwest","mary.martin992@mail.com","Silver","2021-10-26","Invalid",7510,1
"320285","Karen Martin","Southeast","karen.martin879@work.org","Silver","2021-11-12","+1-961-274-4504",12920,""
"301487","Unknown","Southeast","carlos.davis790@mail.com","Bronze","2022-04-21","+1-139-831-5905",4299,""
"829748","Patricia Taylor","Midwest","patricia.taylor354@gmail.com","Silver","2019-09-03","+1-747-025-3143",7086,1
"962331","John Thomas","Northwest","john.thomas694@hotmail.com","Gold","2023-05-17","+1-699-273-6786",10080,1
"918317","Unknown","Midwest","sofia.martin265@yahoo.com","Bronze","2024-01-02","+1-305-871-0511",8821,""
"352436","Yuki Taylor","Southeast","yuki.taylor573@company.com","Silver","2021-01-07","+1-933-323-1871",14758,1
"557108","David Kim","Unknown","david.kim945@yahoo.com","Bronze","2023-11-09","+1-974-077-8733",8568,""
"438860","Sofia Miller","Southeast","sofia.miller601@hotmail.com","Gold","2022-09-12","+1-574-002-4712",3227,1
"698243","Zara Garcia","West Coast","zara.garcia550@gmail.com","Gold","2023-02-11","+1-978-704-5751",2499,""
"262537","Mei Müller","International","mei.müller852@hotmail.com","Silver","2023-02-22","+1-746-712-5835",2478,""
"347165","Raj Smith","Midwest","raj.smith425@gmail.com","Bronze","2020-04-02","+1-180-012-6236",1903,1
"849147","Elena Lee","West Coast","elena.lee751@gmail.com","Gold","2023-08-12","+1-233-205-1253",14566,""
"693895","Mary Moore","Midwest","mary.moore377@outlook.com","Bronze","2021-04-01","+1-445-288-9230",7239,1
"669587","Unknown","Southwest","susan.williams187@work.org","Bronze","2023-07-12","+1-508-073-5368",6389,""
"216559","Karen Miller","West Coast","karen.miller889@company.com","Silver","2023-04-16","+1-493-578-5368",3604,""
"647199","Thomas Thomas","Midwest","thomas.thomas486@icloud.com","Bronze","2023-10-05","+1-223-129-5019",8495,1
"275748","James Taylor","Northeast","james.taylor685@company.com","Bronze","2018-08-19","+1-441-824-7519",6577,""
"847609","Mary Rodriguez","West Coast","mary.rodriguez615@yahoo.com","Silver","2019-01-01","+1-837-599-6130",10699,1
"221864","Barbara Wilson","Midwest","barbara.wilson416@icloud.com","Silver","2024-02-16","+1-322-580-2256",1213,1
"814758","Barbara Jackson","West Coast","barbara.jackson321@icloud.com","Silver","2021-07-11","+1-524-396-0051",8271,""
"674994","Joseph Lee","Southwest","joseph.lee637@yahoo.com","Bronze","2018-11-18","+1-271-057-6638",5703,1
"107387","Barbara Müller","Northeast","barbara.müller440@hotmail.com","Bronze","2020-10-16","+1-129-430-5578",7428,1
"870111","Michael Patel","Midwest","michael.patel978@outlook.com","Silver","2018-12-25","+1-293-054-5542",12363,1
"581306","Lisa Martinez","Midwest","lisa.martinez935@icloud.com","Silver","2023-02-08","+1-766-762-9686",6361,1
"412743","Fatima Lopez","West Coast","fatima.lopez994@outlook.com","Silver","2023-01-04","+1-169-286-1458",14244,1
"202422","Joseph Johnson","West Coast","joseph.johnson129@yahoo.com","Silver","2021-09-02","+1-006-238-2866",5608,""
"154542","Joseph Moore","Midwest","joseph.moore502@mail.com","Bronze","2019-08-23","+1-463-194-5962",11592,1
"122682","Raj Kim","West Coast","raj.kim285@hotmail.com","Silver","2020-07-22","Invalid",5288,""
"833283","Priya Martinez","Southwest","priya.martinez782@work.org","Silver","2019-01-05","+1-916-548-5565",14171,1
"278309","James Thomas","Southwest","james.thomas339@company.com","Gold","2021-12-17","+1-403-816-5300",7804,1
"155973","Lisa Martin","Midwest","lisa.martin352@work.org","Silver","2023-09-24","+1-993-352-6549",8231,1
"700041","Sarah Williams","Northeast","sarah.williams533@mail.com","Silver","2019-11-29","+1-204-631-2374",3783,1
"378922","Fatima Anderson","Midwest","fatima.anderson275@work.org","Gold","2022-08-20","+1-527-171-2184",11521,1
"294443","Elena Jones","Northwest","elena.jones563@gmail.com","Silver","2024-04-24","+1-503-610-8234",12465,1
"482673","David Kim","Southwest","david.kim219@icloud.com","Bronze","2023-01-11","+1-040-338-6136",14068,1
"922967","Ahmed Williams","West Coast","ahmed.williams738@company.com","Bronze","2019-06-29","+1-757-867-3654",13397,""
"668615","Sofia Silva","Midwest","sofia.silva63@icloud.com","Gold","2020-06-30","+1-671-213-8983",894,1
"386295","Wei Jackson","West Coast","wei.jackson693@company.com","Gold","2021-04-07","Invalid",8302,1
"941888","Jessica Lee","Northwest","jessica.lee641@mail.com","Gold","2022-05-09","Invalid",9332,""
"636218","Charles Taylor","Midwest","charles.taylor206@outlook.com","Bronze","2021-12-26","+1-397-998-0744",4061,1
"577077","AHMED ROSSI","Southeast","ahmed.rossi391@mail.com","Bronze","2018-06-11","+1-585-819-6618",2767,""
"247815","Michael Garcia","Northeast","michael.garcia904@mail.com","Bronze","2018-07-22","+1-350-625-8171",11823,1
"122222","Wei Rossi","Midwest","wei.rossi440@work.org","Bronze","2021-03-03","+1-999-972-9079",5527,1
"454632","Carlos Moore","Midwest","carlos.moore693@outlook.com","Silver","2018-04-13","+1-942-944-1055",602,1
"621864","Robert Rossi","Northwest","robert.rossi206@icloud.com","Silver","2020-04-25","+1-609-120-9233",10528,""
"280996","Jessica Singh","West Coast","jessica.singh609@company.com","Bronze","2018-03-21","+1-310-956-2581",13789,1
"406929","Patricia Williams","Northeast","Invalid","Gold","2019-10-10","+1-225-897-8993",14249,1
"604134","Lisa Ali","West Coast","lisa.ali831@gmail.com","Gold","2019-08-29","+1-332-095-1709",11161,1
"121820","Susan Lee","Northwest","susan.lee506@hotmail.com","Bronze","2023-05-03","+1-476-474-8628",2509,""
"679246","Carlos Anderson","West Coast","carlos.anderson965@work.org","Bronze","2022-08-20","+1-698-799-2806",14558,1
"235569","James Garcia","West Coast","james.garcia28@yahoo.com","Bronze","2020-11-15","+1-238-942-5936",12815,1
"611502","Ahmed Lee","West Coast","ahmed.lee351@mail.com","Platinum","2019-04-15","+1-218-823-7625",4116,1
"503710","Joseph Lopez","Southwest","joseph.lopez154@outlook.com","Gold","2022-09-02","Invalid",6529,1
"823505","Raj Brown","Midwest","raj.brown245@gmail.com","Silver","2021-09-08","+1-665-947-2000",954,1
"897588","Sarah Singh","Midwest","sarah.singh126@outlook.com","Bronze","2018-01-14","+1-726-209-8618",13191,""
"662100","Charles Smith","Southeast","charles.smith778@icloud.com","Silver","2021-05-29","+1-206-944-6103",3206,""
"546226","Linda Wilson","Southwest","linda.wilson32@yahoo.com","Bronze","2020-10-24","+1-955-240-7583",11225,1
"232948","Carlos Williams","Midwest","carlos.williams77@company.com","Silver","2020-06-16","+1-352-672-7814",7572,1
"875268","Thomas Martin","West Coast","thomas.martin111@hotmail.com","Bronze","2019-11-04","+1-906-323-7538",13713,1
"193176","Omar Hernandez","Southwest","omar.hernandez64@yahoo.com","Silver","2021-04-17","+1-826-928-3275",1745,""
"892149","Unknown","West Coast","karen.wilson418@icloud.com","Silver","2020-05-13","+1-938-520-3723",512,1
"421582","Richard Williams","West Coast","richard.williams399@yahoo.com","Bronze","2021-01-08","+1-107-257-4700",4314,1
"158459","Priya Rodriguez","Northeast","priya.rodriguez201@icloud.com","Silver","2018-01-02","+1-218-884-8043",3847,1
"357534","Robert Kim","International","robert.kim313@mail.com","Silver","2022-05-21","+1-470-224-4783",859,""
"870092","Richard Brown","Northeast","richard.brown512@yahoo.com","Bronze","2019-05-19","+1-623-828-5002",2917,""
"841966","AHMED FERNANDEZ","Southwest","ahmed.fernandez967@company.com","Silver","2018-12-24","+1-533-133-1610",13185,1
"976012","Charles Moore","West Coast","charles.moore50@work.org","Bronze","2020-01-20","+1-977-204-1605",9493,""
"973769","Sarah Lee","Midwest","sarah.lee288@gmail.com","Bronze","2021-09-07","+1-084-279-9569",3347,1
"878899","Linda Rodriguez","International","linda.rodriguez817@mail.com","Silver","2023-11-22","+1-882-575-2238",717,1
"677126","MARY HERNANDEZ","Northeast","mary.hernandez283@yahoo.com","Platinum","2022-11-10","+1-659-688-3643",11170,""
"770920","Wei Smith","Southwest","wei.smith348@icloud.com","Silver","2021-07-18","+1-330-726-2822",8123,""
"160704","Thomas Miller","Northeast","thomas.miller356@icloud.com","Bronze","2020-01-07","+1-865-719-5929",14878,1
"930413","Ahmed Patel","Southeast","ahmed.patel483@company.com","Bronze","2022-07-13","+1-007-717-7322",10920,1
"754764","Robert Silva","Southeast","robert.silva865@hotmail.com","Silver","2022-12-08","+1-000-388-6759",6594,""
"176934","Michael Fernandez","Northeast","michael.fernandez980@company.com","Bronze","2021-03-06","+1-413-321-3081",8007,1
"800165","fatima müller","International","fatima.müller835@yahoo.com","Gold","2018-10-23","+1-213-734-5948",12249,1
"598660","James Smith","Southwest","james.smith31@yahoo.com","Gold","2022-06-13","+1-251-813-4410",13591,1
"555850","carlos rodriguez","International","Invalid","Gold","2022-06-19","+1-796-826-5673",8357,1
"296818","Mary Jones","Southeast","mary.jones935@yahoo.com","Silver","2021-12-28","+1-320-951-2929",10446,1
"875073","David Fernandez","Southeast","david.fernandez738@gmail.com","Gold","2018-05-21","+1-743-284-0959",244,1
"450731","Patricia Rodriguez","Northeast","patricia.rodriguez815@yahoo.com","Bronze","2019-04-29","+1-059-601-3709",11755,1
"970530","Michael Miller","Southeast","michael.miller156@hotmail.com","Platinum","2022-08-06","+1-247-810-2578",2419,1
"485611","Raj Davis","Midwest","raj.davis321@hotmail.com","Bronze","2019-04-03","+1-842-380-8245",12130,1
"456307","Michael Fernandez","Northeast","michael.fernandez288@yahoo.com","Bronze","2018-12-18","+1-727-699-0827",5111,1
"628038","Raj Silva","West Coast","raj.silva225@work.org","Platinum","2020-06-09","+1-342-299-5460",8912,""
"988926","Zara Jackson","International","zara.jackson706@gmail.com","Silver","2020-10-01","+1-499-421-5123",13175,1
"717486","Joseph Jackson","Northeast","joseph.jackson71@icloud.com","Bronze","2021-06-14","+1-880-961-2222",12403,1
"372416","David Brown","Midwest","david.brown677@company.com","Platinum","2022-07-29","+1-154-070-1401",9182,""
"613377","Omar Fernandez","Midwest","omar.fernandez444@hotmail.com","Bronze","2023-08-19","+1-114-228-6124",5825,1
"714062","Priya Fernandez","West Coast","priya.fernandez471@work.org","Bronze","2021-12-31","+1-279-066-1493",6148,1
"541094","Charles Hernandez","Midwest","charles.hernandez776@icloud.com","Bronze","2022-05-09","+1-607-416-1941",13057,1
"595348","Michael Smith","West Coast","michael.smith53@gmail.com","Gold","2024-05-05","+1-797-855-6714",4609,1
"400150","James Jackson","West Coast","james.jackson766@work.org","Bronze","2020-11-03","+1-516-631-0549",12197,1
"902087","Jessica Jones","Southeast","jessica.jones215@icloud.com","Silver","2021-09-07","+1-215-562-4269",3108,1
"216203","Sofia Silva","West Coast","sofia.silva2@company.com","Silver","2024-02-07","+1-749-664-8160",730,1
"407783","Mei Garcia","West Coast","mei.garcia27@company.com","Bronze","2018-08-19","+1-311-478-8344",14151,""
"438722","Ahmed Taylor","Northeast","ahmed.taylor485@work.org","Gold","2022-09-19","+1-591-852-8517",7241,1
"623774","Wei Taylor","Northeast","wei.taylor76@gmail.com","Gold","2019-02-08","+1-195-263-3844",3578,1
"210335","Elena Moore","Southwest","elena.moore429@company.com","Bronze","2023-02-19","+1-287-616-1501",6242,1
"176214","Mei Chen","Northeast","mei.chen193@company.com","Silver","2022-05-07","+1-941-515-2350",6295,1
"913897","Raj Kim","Northeast","raj.kim867@gmail.com","Gold","2020-08-22","+1-708-970-4739",1047,""
"253175","John Taylor","Northeast","john.taylor449@work.org","Silver","2019-06-03","+1-129-503-4388",6494,1
"930459","Priya Garcia","Northeast","priya.garcia46@outlook.com","Silver","2022-08-14","+1-217-075-0516",5379,1
"857653","Jennifer Fernandez","Southeast","jennifer.fernandez387@mail.com","Silver","2021-03-21","+1-336-355-0047",10279,1
"887075","John Smith","Southwest","john.smith239@gmail.com","Bronze","2024-02-22","+1-140-056-4945",5517,""
"556844","Wei Hernandez","Northeast","wei.hernandez891@outlook.com","Bronze","2023-12-14","+1-160-377-2286",1891,1
"153773","Michael Johnson","Northwest","michael.johnson644@outlook.com","Platinum","2020-09-29","+1-831-960-4519",14105,1
"817399","Unknown","West Coast","yuki.singh209@work.org","Gold","2020-05-26","+1-185-048-9200",10123,1
"641764","Richard Singh","Northwest","richard.singh714@icloud.com","Bronze","2018-04-13","+1-706-249-4242",1139,1
"615724","Karen Williams","Northeast","karen.williams841@hotmail.com","Silver","2021-02-28","+1-198-733-1859",3955,1
"574289","Robert Patel","Southwest","robert.patel265@company.com","Bronze","2019-12-05","+1-088-463-6455",4122,1
"920524","Fatima Patel","Northeast","fatima.patel809@hotmail.com","Bronze","2022-01-07","+1-978-628-3519",4741,1
"142664","Joseph Williams","Southeast","joseph.williams822@outlook.com","Bronze","2019-04-15","+1-762-046-7261",1562,1
"264714","Joseph Kim","International","joseph.kim568@outlook.com","Bronze","2021-09-25","+1-907-221-3829",9485,1
"717259","Wei Williams","Southwest","wei.williams374@gmail.com","Bronze","2018-07-31","+1-255-906-0640",14955,1
"655979","Ahmed Patel","West Coast","ahmed.patel421@gmail.com","Bronze","2021-01-07","+1-454-949-8611",4885,1
"925662","Elena Rodriguez","Northeast","elena.rodriguez316@outlook.com","Gold","2023-06-06","+1-944-700-2989",432,1
"779442","Lisa Smith","Southwest","lisa.smith367@hotmail.com","Silver","2018-02-24","+1-969-852-2982",11795,""
"761037","Elena Lopez","Southwest","elena.lopez199@icloud.com","Bronze","2024-03-27","+1-162-346-2495",2434,""
"701491","Raj Davis","International","raj.davis289@mail.com","Platinum","2021-10-18","+1-687-566-2320",127,""
"859266","Wei Miller","International","wei.miller477@icloud.com","Bronze","2024-01-23","+1-572-272-2638",6088,1
"203532","James Anderson","Southeast","james.anderson60@outlook.com","Silver","2023-10-24","+1-762-670-1021",4431,""
"633273","Linda Moore","Northeast","linda.moore124@mail.com","Platinum","2018-04-23","+1-381-025-0402",968,1
"471672","Jessica Martin","Southeast","jessica.martin964@company.com","Bronze","2019-01-01","+1-285-953-3665",8880,""
"107256","Carlos Silva","Midwest","carlos.silva879@company.com","Gold","2019-07-26","+1-336-725-9581",11103,1
"345042","Lisa Williams","Midwest","lisa.williams846@hotmail.com","Bronze","2024-03-11","+1-877-277-2711",5345,""
"315568","Robert Nguyen","West Coast","robert.nguyen990@outlook.com","Silver","2018-12-07","+1-605-725-5428",12058,""
"518634","Michael Patel","Southwest","michael.patel922@work.org","Bronze","2023-01-29","+1-573-441-1203",8922,1
"364889","Mei Silva","Midwest","mei.silva599@hotmail.com","Gold","2020-10-09","+1-142-217-3224",1409,1
"566674","Linda Lopez","Southeast","linda.lopez97@icloud.com","Bronze","2021-01-08","+1-503-826-5816",8725,""
"699943","Yuki Smith","Northeast","yuki.smith29@company.com","Bronze","2019-03-06","+1-094-993-1431",12865,1
"103676","David Ali","International","david.ali737@gmail.com","Silver","2018-06-05","Invalid",303,1
"622683","Raj Thomas","International","raj.thomas265@outlook.com","Silver","2018-02-07","+1-512-631-9993",2228,""
"170679","James Rossi","Southeast","james.rossi314@company.com","Silver","2021-12-21","+1-837-452-4535",6262,""
"995203","Richard Rodriguez","Southwest","richard.rodriguez12@mail.com","Silver","2022-06-14","Invalid",6016,""
"603508","Michael Rodriguez","Southeast","michael.rodriguez897@company.com","Silver","2022-02-14","+1-145-701-6470",7093,""
"220166","Sofia Garcia","Southeast","sofia.garcia920@company.com","Silver","2022-09-05","+1-026-314-2033",12263,""
"484036","Lisa Johnson","Southeast","lisa.johnson588@gmail.com","Bronze","2023-12-02","+1-243-023-5416",8742,1
"140519","Yuki Williams","West Coast","yuki.williams168@icloud.com","Bronze","2019-09-09","+1-972-069-3649",4617,1
"104128","John Thomas","Midwest","john.thomas316@icloud.com","Platinum","2023-05-30","+1-232-051-7636",13559,1
"855357","Robert Silva","Midwest","robert.silva195@icloud.com","Gold","2019-10-14","+1-805-675-5748",932,1
"263016","Jessica Moore","Midwest","jessica.moore326@mail.com","Gold","2021-06-15","+1-374-058-4914",13613,1
"955385","Patricia Fernandez","West Coast","patricia.fernandez113@work.org","Bronze","2023-03-14","+1-229-029-2583",4880,1
"652131","Robert Rossi","Northeast","robert.rossi524@company.com","Bronze","2020-08-15","+1-752-276-6909",4482,1
"157393","Charles Jackson","Midwest","charles.jackson28@icloud.com","Gold","2019-05-22","+1-989-412-2112",8532,1
"438477","Sofia Garcia","Southeast","sofia.garcia579@outlook.com","Bronze","2021-02-06","+1-592-106-4317",3915,1
"585643","Michael Fernandez","Southwest","michael.fernandez987@icloud.com","Bronze","2020-01-01","+1-178-665-0060",4282,""
"360110","Sofia Taylor","West Coast","sofia.taylor64@work.org","Bronze","2021-05-18","+1-784-418-7148",4847,1
"171826","Omar Smith","Northwest","omar.smith727@mail.com","Bronze","2021-11-24","+1-771-595-9680",7694,1
"800612","Omar Nguyen","Southeast","omar.nguyen764@outlook.com","Gold","2023-09-18","+1-916-448-6797",1764,""
"248365","Patricia Davis","Southwest","patricia.davis314@icloud.com","Platinum","2020-04-21","+1-095-598-7917",12716,""
"689226","Wei Kim","Southwest","wei.kim740@company.com","Gold","2018-02-22","+1-046-866-9688",552,""
"762569","John Jackson","Southeast","john.jackson952@mail.com","Silver","2018-04-17","+1-237-592-7311",4802,""
"453388","Linda Taylor","Unknown","linda.taylor198@company.com","Gold","2019-08-24","+1-809-171-7617",4484,1
"154374","Raj Wilson","West Coast","raj.wilson514@icloud.com","Gold","2023-01-17","+1-151-165-6949",11681,""
"993434","James Müller","Northeast","james.müller573@mail.com","Bronze","2022-04-06","+1-243-981-6623",446,1
"173033","Sarah Nguyen","Northeast","sarah.nguyen364@gmail.com","Bronze","2023-01-15","+1-717-568-1628",140,1
"979448","Omar Hernandez","Midwest","Invalid","Silver","2024-01-26","+1-379-249-0997",2648,1
"899589","Lisa Rossi","Southwest","lisa.rossi234@work.org","Bronze","2018-10-11","+1-502-328-4734",12540,""
"965656","Mei Müller","International","mei.müller291@hotmail.com","Bronze","2021-01-26","+1-933-585-5113",8657,1
"668507","Charles Garcia","Southwest","charles.garcia350@icloud.com","Silver","2022-05-11","+1-550-512-8066",828,1
"770474","Thomas Johnson","Southeast","thomas.johnson375@icloud.com","Bronze","2022-01-29","+1-108-511-1339",14071,1
"290196","Linda Garcia","Unknown","linda.garcia722@icloud.com","Silver","2022-07-23","+1-294-186-5720",12012,""
"672921","John Williams","Northeast","john.williams992@work.org","Bronze","2019-07-24","+1-502-008-5241",898,1
"388401","James Martinez","Midwest","james.martinez693@company.com","Bronze","2019-10-02","+1-492-040-6759",7042,""
"974466","James Taylor","Southwest","james.taylor750@gmail.com","Silver","2023-06-01","+1-061-704-0188",8671,1
"604261","Raj Smith","Southeast","raj.smith961@outlook.com","Gold","2022-01-10","+1-159-421-5024",7661,1
"189353","Jessica Taylor","West Coast","jessica.taylor381@work.org","Bronze","2019-02-11","+1-875-654-5213",12817,1
"903229","PRIYA KIM","International","priya.kim429@work.org","Gold","2019-08-05","+1-697-275-8032",2719,1
"243038","Michael Anderson","Midwest","michael.anderson93@mail.com","Gold","2021-02-09","+1-039-690-5911",9695,1
"208041","Michael Lee","Northeast","michael.lee89@mail.com","Gold","2021-02-28","+1-690-250-0080",5731,1
"726414","Patricia Ali","Northeast","patricia.ali236@outlook.com","Bronze","2020-08-16","+1-138-574-0066",6955,1
"607048","Mei Thomas","West Coast","mei.thomas676@work.org","Bronze","2020-06-02","+1-395-421-6017",8540,1
"933845","Priya Martin","West Coast","priya.martin494@work.org","Gold","2020-01-30","+1-773-752-9026",13670,1
"924039","Mei Williams","Midwest","mei.williams479@icloud.com","Silver","2020-07-23","+1-373-065-6621",2340,1
"407276","Carlos Brown","West Coast","carlos.brown484@icloud.com","Silver","2018-10-15","+1-704-775-8173",2146,1
"263103","elena fernandez","Northwest","elena.fernandez148@hotmail.com","Silver","2021-12-14","+1-737-435-4971",6426,1
"425744","priya hernandez","Southwest","priya.hernandez340@icloud.com","Silver","2021-06-09","+1-290-116-8441",13607,1
"382683","Sofia Fernandez","Southeast","Invalid","Silver","2020-11-20","+1-477-605-7129",663,1
"822898","Zara Silva","Southwest","zara.silva870@company.com","Gold","2024-04-02","+1-806-673-4690",2487,1
"257027","Priya Lee","Northwest","priya.lee470@mail.com","Gold","2021-05-09","+1-628-975-8264",6051,1
"865435","Priya Müller","Midwest","priya.müller269@company.com","Silver","2021-03-27","Invalid",3042,""
"131096","Sarah Johnson","West Coast","sarah.johnson254@mail.com","Bronze","2024-03-17","+1-318-815-2471",4327,""
"851286","James Davis","West Coast","james.davis970@work.org","Bronze","2019-07-10","+1-562-643-9374",14469,""
"487477","Yuki Johnson","Midwest","yuki.johnson534@work.org","Bronze","2022-04-02","+1-015-711-2664",6598,1
"587547","Barbara Miller","West Coast","barbara.miller314@hotmail.com","Silver","2024-04-07","+1-376-252-2113",12493,1
"116463","Patricia Ali","Southeast","patricia.ali81@gmail.com","Platinum","2021-07-03","+1-927-316-2998",3004,1
"247006","Zara Lopez","Southeast","zara.lopez605@yahoo.com","Silver","2018-05-26","+1-517-095-8820",3738,""
"330677","Barbara Lopez","Midwest","barbara.lopez266@yahoo.com","Silver","2021-06-29","+1-291-510-3186",6889,""
"612200","Richard Fernandez","Unknown","richard.fernandez253@company.com","Gold","2023-10-24","+1-375-592-4186",8235,1
"995222","Elena Davis","Southeast","elena.davis912@outlook.com","Gold","2023-07-19","+1-115-724-8901",637,""
"439256","Patricia Garcia","Southeast","patricia.garcia409@company.com","Bronze","2023-08-15","+1-044-839-3788",7365,1
"533619","Christopher Ali","Northwest","christopher.ali943@mail.com","Gold","2018-11-21","+1-122-349-2068",3458,1
